matrix,opt_level,threads,schedule,chunksize,L1_miss_percent_mean,L1_miss_percent_p90,LLC_miss_percent_mean,LLC_miss_percent_p90
Transport,O0,1,sequential,,1.6039999999999999,1.61,38.618,70.789
Transport,O1,1,sequential,,7.38,7.391,15.529,19.923000000000002
Transport,O2,1,sequential,,7.391,7.4,16.009,18.799
Transport,O3,1,sequential,,7.3790000000000004,7.4,13.017,18.685
Transport,O3,2,dynamic,10.0,9.231,9.24,13.822999999999999,14.356
Transport,O3,2,dynamic,100.0,7.514,7.52,46.537,46.772
Transport,O3,2,dynamic,1000.0,7.465999999999999,7.47,32.126999999999995,32.408
Transport,O3,2,guided,10.0,7.3,7.3,21.261000000000003,21.47
Transport,O3,2,guided,100.0,7.2989999999999995,7.3,21.352,21.662
Transport,O3,2,guided,1000.0,7.3,7.3,21.274,21.543
Transport,O3,2,static,10.0,8.934000000000001,8.940999999999999,24.165,24.334999999999997
Transport,O3,2,static,100.0,7.498,7.5,45.473,45.645
Transport,O3,2,static,1000.0,7.465000000000001,7.47,27.181,27.555
Transport,O3,4,dynamic,10.0,10.37,10.38,43.049,43.223
Transport,O3,4,dynamic,100.0,8.19,8.19,27.998,28.072
Transport,O3,4,dynamic,1000.0,7.461,7.47,36.894,37.162
Transport,O3,4,guided,10.0,7.3,7.3,24.192,24.456
Transport,O3,4,guided,100.0,7.300999999999999,7.301,24.06,24.194000000000003
Transport,O3,4,guided,1000.0,7.3,7.3,24.220000000000002,24.523
Transport,O3,4,static,10.0,9.543,9.55,36.403,36.643
Transport,O3,4,static,100.0,8.165000000000001,8.17,27.877999999999997,27.945
Transport,O3,4,static,1000.0,7.456999999999999,7.46,29.224,29.747999999999998
Transport,O3,8,dynamic,10.0,11.213000000000001,11.22,34.311,34.381
Transport,O3,8,dynamic,100.0,8.288999999999998,8.29,28.715999999999998,28.861
Transport,O3,8,dynamic,1000.0,7.465999999999999,7.47,37.238,37.722
Transport,O3,8,guided,10.0,7.308,7.31,26.349,26.574
Transport,O3,8,guided,100.0,7.309,7.31,26.249000000000002,26.354
Transport,O3,8,guided,1000.0,7.3069999999999995,7.31,26.299,26.572
Transport,O3,8,static,10.0,9.762,9.77,34.212,34.309
Transport,O3,8,static,100.0,8.251000000000001,8.251,27.541000000000004,27.846
Transport,O3,8,static,1000.0,7.468999999999999,7.47,28.409000000000002,29.058
Transport,O3,16,dynamic,10.0,11.821000000000002,11.821,28.344,28.393
Transport,O3,16,dynamic,100.0,8.278,8.28,31.970999999999997,32.113
Transport,O3,16,dynamic,1000.0,7.475,7.48,31.605,31.774
Transport,O3,16,guided,10.0,7.327,7.33,25.256999999999998,25.529
Transport,O3,16,guided,100.0,7.321000000000001,7.33,25.526999999999997,25.732
Transport,O3,16,guided,1000.0,7.317,7.321000000000001,25.702999999999996,25.872
Transport,O3,16,static,10.0,9.626000000000001,9.641,36.5,36.653999999999996
Transport,O3,16,static,100.0,8.232000000000001,8.24,25.6,25.944000000000003
Transport,O3,16,static,1000.0,7.470999999999999,7.471,28.044,28.426
Transport,O3,32,dynamic,10.0,11.387,11.722000000000001,35.979,36.102000000000004
Transport,O3,32,dynamic,100.0,7.804,7.892,34.932,35.362
Transport,O3,32,dynamic,1000.0,7.084999999999999,7.251,32.282,32.958000000000006
Transport,O3,32,guided,10.0,6.9590000000000005,7.163,22.06,22.401
Transport,O3,32,guided,100.0,7.014,7.164000000000001,22.36,22.709
Transport,O3,32,guided,1000.0,6.999,7.121,22.27,22.462999999999997
Transport,O3,32,static,10.0,10.315999999999999,10.494,49.457,50.127
Transport,O3,32,static,100.0,7.853999999999999,8.081,26.219,26.581999999999997
Transport,O3,32,static,1000.0,6.948,7.039000000000001,30.29,30.67
Transport,O3,64,dynamic,10.0,9.635,10.548,40.244,40.884
Transport,O3,64,dynamic,100.0,7.036,7.576,36.546,37.224
Transport,O3,64,dynamic,1000.0,6.507,6.719,41.183,41.535
Transport,O3,64,guided,10.0,6.231,6.505,30.000999999999998,30.737000000000002
Transport,O3,64,guided,100.0,6.172,6.367,30.411,31.191
Transport,O3,64,guided,1000.0,6.377,6.554,30.569,31.518
Transport,O3,64,static,10.0,9.129000000000001,9.552,39.6,40.776
Transport,O3,64,static,100.0,6.229,6.417,20.642000000000003,21.330000000000002
Transport,O3,64,static,1000.0,5.601,5.734999999999999,31.879,32.453
Transport,O3,128,dynamic,10.0,11.985000000000001,11.991,43.924,44.255
Transport,O3,128,dynamic,100.0,8.471,8.48,44.04600000000001,44.818999999999996
Transport,O3,128,dynamic,1000.0,7.728,7.731000000000001,46.251999999999995,46.94
Transport,O3,128,guided,10.0,7.617,7.63,33.094,33.602
Transport,O3,128,guided,100.0,7.606,7.611000000000001,34.082,34.458000000000006
Transport,O3,128,guided,1000.0,7.581999999999999,7.591,34.265,34.976
Transport,O3,128,static,10.0,11.536,11.561,31.358999999999998,32.744
Transport,O3,128,static,100.0,8.379000000000001,8.39,18.893,20.191000000000003
Transport,O3,128,static,1000.0,7.661,7.67,34.617000000000004,36.253
Transport,Ofast,1,sequential,,7.382000000000001,7.4,13.862,18.712
cant,O0,1,sequential,,1.38,1.38,78.467,81.118
cant,O1,1,sequential,,6.4,6.41,76.495,79.331
cant,O2,1,sequential,,6.396,6.41,79.691,83.744
cant,O3,1,sequential,,6.396,6.41,79.854,83.85499999999999
cant,O3,2,dynamic,10.0,6.946000000000001,6.96,73.465,75.316
cant,O3,2,dynamic,100.0,6.586,6.591,67.388,71.29299999999999
cant,O3,2,dynamic,1000.0,6.415000000000001,6.42,68.162,70.00500000000001
cant,O3,2,guided,10.0,6.354,6.36,76.083,80.532
cant,O3,2,guided,100.0,6.353,6.362,75.509,80.41000000000001
cant,O3,2,guided,1000.0,6.351,6.361000000000001,74.532,78.52499999999999
cant,O3,2,static,10.0,6.857000000000001,6.901000000000001,67.334,74.042
cant,O3,2,static,100.0,6.581,6.59,58.89,67.564
cant,O3,2,static,1000.0,6.36,6.36,58.087,60.007
cant,O3,4,dynamic,10.0,7.365,7.37,70.579,71.381
cant,O3,4,dynamic,100.0,6.592999999999999,6.6,53.251,54.041000000000004
cant,O3,4,dynamic,1000.0,6.412999999999999,6.42,69.216,70.73
cant,O3,4,guided,10.0,6.375,6.381,76.98400000000001,79.56
cant,O3,4,guided,100.0,6.373,6.38,76.91,78.777
cant,O3,4,guided,1000.0,6.37,6.38,76.933,78.104
cant,O3,4,static,10.0,7.328,7.4110000000000005,44.507,51.080999999999996
cant,O3,4,static,100.0,6.786,6.893,66.882,76.606
cant,O3,4,static,1000.0,6.364,6.371,46.795,54.084999999999994
cant,O3,8,dynamic,10.0,7.529999999999999,7.53,54.11800000000001,54.587
cant,O3,8,dynamic,100.0,6.627,6.63,33.937,34.741
cant,O3,8,dynamic,1000.0,6.399,6.4,58.99300000000001,60.417
cant,O3,8,guided,10.0,6.3839999999999995,6.39,61.39,64.073
cant,O3,8,guided,100.0,6.378,6.391,61.664,63.658
cant,O3,8,guided,1000.0,6.369,6.371,64.247,66.797
cant,O3,8,static,10.0,7.258,7.27,24.306,25.178
cant,O3,8,static,100.0,6.573,6.601,23.509,30.656
cant,O3,8,static,1000.0,6.3420000000000005,6.361000000000001,34.994,39.876
cant,O3,16,dynamic,10.0,7.801,7.82,34.102,34.634
cant,O3,16,dynamic,100.0,6.633,6.64,29.321999999999996,30.277
cant,O3,16,dynamic,1000.0,6.381,6.39,49.638,52.012
cant,O3,16,guided,10.0,6.417,6.43,44.946000000000005,46.743
cant,O3,16,guided,100.0,6.404000000000001,6.4110000000000005,46.354,47.692
cant,O3,16,guided,1000.0,6.3759999999999994,6.38,49.934,51.78
cant,O3,16,static,10.0,7.623,7.7,15.738999999999999,16.535
cant,O3,16,static,100.0,6.590000000000001,6.611000000000001,19.518,20.372
cant,O3,16,static,1000.0,6.364,6.371,32.269999999999996,36.461999999999996
cant,O3,32,dynamic,10.0,8.019,8.04,23.906,24.284
cant,O3,32,dynamic,100.0,6.616,6.62,31.223000000000003,32.168
cant,O3,32,dynamic,1000.0,6.36,6.361000000000001,45.659,47.19
cant,O3,32,guided,10.0,6.4590000000000005,6.47,38.316,39.739000000000004
cant,O3,32,guided,100.0,6.427,6.43,41.04,42.269999999999996
cant,O3,32,guided,1000.0,6.348,6.36,43.814,45.155
cant,O3,32,static,10.0,8.026,8.071,12.745000000000001,13.078
cant,O3,32,static,100.0,6.612,6.62,20.456,20.964000000000002
cant,O3,32,static,1000.0,6.369,6.38,27.913999999999998,28.915
cant,O3,64,dynamic,10.0,8.077,8.12,19.97,20.507
cant,O3,64,dynamic,100.0,6.542,6.55,29.054000000000002,29.906
cant,O3,64,dynamic,1000.0,6.172,6.2010000000000005,41.714,43.064
cant,O3,64,guided,10.0,6.473999999999999,6.49,30.593,31.8
cant,O3,64,guided,100.0,6.406000000000001,6.42,33.223,34.276
cant,O3,64,guided,1000.0,6.203,6.22,37.451,38.413000000000004
cant,O3,64,static,10.0,8.065000000000001,8.116,12.061,12.453999999999999
cant,O3,64,static,100.0,6.556,6.561,38.006,41.106
cant,O3,64,static,1000.0,6.304,6.31,32.729,33.919
cant,O3,128,dynamic,10.0,8.55,8.56,24.361,25.063
cant,O3,128,dynamic,100.0,6.75,6.75,34.644999999999996,35.352
cant,O3,128,dynamic,1000.0,6.4879999999999995,6.4910000000000005,42.08,43.615
cant,O3,128,guided,10.0,6.815,6.83,31.806,34.538000000000004
cant,O3,128,guided,100.0,6.654999999999999,6.6610000000000005,38.06,40.375
cant,O3,128,guided,1000.0,6.489,6.49,42.847,43.755
cant,O3,128,static,10.0,8.509,8.520999999999999,14.303,15.374
cant,O3,128,static,100.0,6.746,6.751,32.976,35.553999999999995
cant,O3,128,static,1000.0,6.483,6.49,35.916,38.385
cant,Ofast,1,sequential,,6.396,6.41,79.957,83.956
circuit5M,O0,1,sequential,,2.094,2.1,59.885000000000005,65.707
circuit5M,O1,1,sequential,,9.331,9.34,58.181999999999995,60.394
circuit5M,O2,1,sequential,,9.339,9.35,55.590999999999994,58.303999999999995
circuit5M,O3,1,sequential,,9.34,9.35,57.517999999999994,59.052
circuit5M,O3,2,dynamic,10.0,11.363,11.37,27.412,27.541
circuit5M,O3,2,dynamic,100.0,9.696,9.7,54.199,54.512
circuit5M,O3,2,dynamic,1000.0,9.39,9.39,54.431,55.582
circuit5M,O3,2,guided,10.0,9.31,9.31,54.727999999999994,55.249
circuit5M,O3,2,guided,100.0,9.31,9.31,54.96900000000001,55.196
circuit5M,O3,2,guided,1000.0,9.31,9.31,54.686,55.105000000000004
circuit5M,O3,2,static,10.0,11.014,11.02,51.043,51.243
circuit5M,O3,2,static,100.0,9.634,9.64,63.019000000000005,63.301
circuit5M,O3,2,static,1000.0,9.393,9.4,54.439,54.939
circuit5M,O3,4,dynamic,10.0,12.311,12.32,19.213,19.271
circuit5M,O3,4,dynamic,100.0,9.76,9.76,57.99400000000001,58.252
circuit5M,O3,4,dynamic,1000.0,9.399000000000001,9.4,49.172000000000004,49.553
circuit5M,O3,4,guided,10.0,9.280999999999999,9.280999999999999,55.057,55.496
circuit5M,O3,4,guided,100.0,9.28,9.28,54.840999999999994,55.722
circuit5M,O3,4,guided,1000.0,9.28,9.28,54.899,55.406
circuit5M,O3,4,static,10.0,11.496,11.5,68.534,68.709
circuit5M,O3,4,static,100.0,9.68,9.68,62.935,63.056999999999995
circuit5M,O3,4,static,1000.0,9.361,9.360999999999999,51.239999999999995,51.353
circuit5M,O3,8,dynamic,10.0,12.99,12.991,23.598,23.63
circuit5M,O3,8,dynamic,100.0,9.8,9.8,57.678,57.823
circuit5M,O3,8,dynamic,1000.0,9.392,9.4,46.606,46.82
circuit5M,O3,8,guided,10.0,9.225,9.23,56.20700000000001,57.205999999999996
circuit5M,O3,8,guided,100.0,9.222,9.23,56.036,56.577
circuit5M,O3,8,guided,1000.0,9.224,9.23,56.187,56.849
circuit5M,O3,8,static,10.0,12.035999999999998,12.04,57.803999999999995,57.87
circuit5M,O3,8,static,100.0,9.647,9.65,62.777,62.866
circuit5M,O3,8,static,1000.0,9.31,9.31,50.216,50.424
circuit5M,O3,16,dynamic,10.0,13.224,13.23,44.742000000000004,44.797
circuit5M,O3,16,dynamic,100.0,9.82,9.82,56.35,56.492000000000004
circuit5M,O3,16,dynamic,1000.0,9.196,9.2,48.083,48.451
circuit5M,O3,16,guided,10.0,9.12,9.12,26.952999999999996,28.987
circuit5M,O3,16,guided,100.0,9.12,9.12,26.351,29.502
circuit5M,O3,16,guided,1000.0,9.12,9.12,27.038,29.500999999999998
circuit5M,O3,16,static,10.0,12.041,12.040999999999999,60.61,60.751
circuit5M,O3,16,static,100.0,9.565999999999999,9.57,60.359,60.494
circuit5M,O3,16,static,1000.0,9.2,9.2,49.882,50.004
circuit5M,O3,32,dynamic,10.0,13.206,13.261,52.734,52.85
circuit5M,O3,32,dynamic,100.0,9.617,9.733,53.95399999999999,54.108000000000004
circuit5M,O3,32,dynamic,1000.0,8.92,8.94,45.995,46.617
circuit5M,O3,32,guided,10.0,8.873,8.873,45.12,48.912
circuit5M,O3,32,guided,100.0,8.870999999999999,8.872,45.077,49.462999999999994
circuit5M,O3,32,guided,1000.0,8.865,8.891,46.061,50.404999999999994
circuit5M,O3,32,static,10.0,11.928999999999998,11.94,55.952999999999996,56.033
circuit5M,O3,32,static,100.0,9.3,9.37,50.467,50.87
circuit5M,O3,32,static,1000.0,8.873999999999999,8.953,42.644,42.837
circuit5M,O3,64,dynamic,10.0,13.221,13.567,51.706999999999994,52.049
circuit5M,O3,64,dynamic,100.0,8.987,9.122,54.705999999999996,55.05
circuit5M,O3,64,dynamic,1000.0,8.476,8.593,47.936,48.660999999999994
circuit5M,O3,64,guided,10.0,8.440999999999999,8.45,52.172000000000004,55.458999999999996
circuit5M,O3,64,guided,100.0,8.431999999999999,8.45,52.313,54.36
circuit5M,O3,64,guided,1000.0,8.425,8.45,51.909000000000006,53.656
circuit5M,O3,64,static,10.0,11.336,11.41,48.422000000000004,48.736
circuit5M,O3,64,static,100.0,8.848,8.895,45.160000000000004,45.512
circuit5M,O3,64,static,1000.0,8.48,8.554,44.587,44.980999999999995
circuit5M,O3,128,dynamic,10.0,14.053,14.072000000000001,52.939,53.604
