matrix,opt_level,threads,schedule,chunksize,time_ms_mean,time_ms_p90
Transport,O0,1,sequential,,78.9630202,82.502469
Transport,O1,1,sequential,,27.0907077,27.294828
Transport,O2,1,sequential,,27.0121356,27.194578
Transport,O3,1,sequential,,26.7661327,27.084008
Transport,O3,2,dynamic,10.0,29.031402,29.499539
Transport,O3,2,dynamic,100.0,16.446051999999998,16.535941
Transport,O3,2,dynamic,1000.0,14.781662599999999,14.854
Transport,O3,2,guided,10.0,14.0717282,14.183183
Transport,O3,2,guided,100.0,14.077817600000001,14.205275
Transport,O3,2,guided,1000.0,14.0635151,14.205666
Transport,O3,2,static,10.0,23.9828195,24.627612
Transport,O3,2,static,100.0,15.9480708,16.016306
Transport,O3,2,static,1000.0,14.758906,14.839891
Transport,O3,4,dynamic,10.0,17.950537699999998,18.185670000000002
Transport,O3,4,dynamic,100.0,8.76117431,8.9271973
Transport,O3,4,dynamic,1000.0,7.91990968,8.219971
Transport,O3,4,guided,10.0,7.3167481,7.5598633
Transport,O3,4,guided,100.0,7.31320555,7.5467286
Transport,O3,4,guided,1000.0,7.334609369999999,7.580468600000001
Transport,O3,4,static,10.0,14.1743778,14.469533
Transport,O3,4,static,100.0,8.5940136,8.7662841
Transport,O3,4,static,1000.0,7.7518872,7.9932862
Transport,O3,8,dynamic,10.0,11.4095073,11.490207
Transport,O3,8,dynamic,100.0,5.39618163,5.902636500000001
Transport,O3,8,dynamic,1000.0,5.5690405599999995,6.2077146
Transport,O3,8,guided,10.0,4.93167973,5.534961
Transport,O3,8,guided,100.0,4.82390377,5.2570066
Transport,O3,8,guided,1000.0,4.89359381,5.390942000000001
Transport,O3,8,static,10.0,8.46280032,8.696826
Transport,O3,8,static,100.0,5.36144534,5.9765136000000005
Transport,O3,8,static,1000.0,5.11029294,5.7676023
Transport,O3,16,dynamic,10.0,9.035690879999999,9.4138914
Transport,O3,16,dynamic,100.0,4.73196045,5.1684085
Transport,O3,16,dynamic,1000.0,4.70865968,5.0558836000000005
Transport,O3,16,guided,10.0,4.58436524,5.0825193
Transport,O3,16,guided,100.0,4.56184571,4.871142500000001
Transport,O3,16,guided,1000.0,4.55186035,4.8936521
Transport,O3,16,static,10.0,5.821918920000001,6.2905274
Transport,O3,16,static,100.0,4.86333987,5.2938963
Transport,O3,16,static,1000.0,4.59718022,4.9276123
Transport,O3,32,dynamic,10.0,15.3231444,16.077345
Transport,O3,32,dynamic,100.0,6.530014680000001,7.458324900000003
Transport,O3,32,dynamic,1000.0,6.2542406800000006,7.4640385
Transport,O3,32,guided,10.0,5.49465821,6.2086911
Transport,O3,32,guided,100.0,5.5415966800000005,6.1293209000000015
Transport,O3,32,guided,1000.0,5.66050044,6.251611600000001
Transport,O3,32,static,10.0,8.33457262,9.362548600000002
Transport,O3,32,static,100.0,4.79959718,5.364185
Transport,O3,32,static,1000.0,5.36833258,5.8416991
Transport,O3,64,dynamic,10.0,18.4634596,26.061259
Transport,O3,64,dynamic,100.0,72.7987759,106.63290000000022
Transport,O3,64,dynamic,1000.0,95.6861077,115.43861
Transport,O3,64,guided,10.0,77.0144956,117.49137000000002
Transport,O3,64,guided,100.0,85.6275274,120.77459
Transport,O3,64,guided,1000.0,81.9893501,110.48951000000002
Transport,O3,64,static,10.0,13.82328827,19.117166
Transport,O3,64,static,100.0,18.326176880000002,23.159669
Transport,O3,64,static,1000.0,19.02959249,25.817142999999998
Transport,O3,128,dynamic,10.0,25.094646200000003,26.129221
Transport,O3,128,dynamic,100.0,110.1808758,147.35279000000034
Transport,O3,128,dynamic,1000.0,121.3665986,146.9845
Transport,O3,128,guided,10.0,96.12992469999999,139.79099000000005
Transport,O3,128,guided,100.0,93.7449369,134.60560000000007
Transport,O3,128,guided,1000.0,93.9345833,157.99562000000012
Transport,O3,128,static,10.0,18.98671617,24.090303
Transport,O3,128,static,100.0,78.4743444,119.93141000000011
Transport,O3,128,static,1000.0,76.10321619999999,106.63699000000008
Transport,Ofast,1,sequential,,27.044677200000002,27.47109
cant,O0,1,sequential,,12.2783113,12.292283
cant,O1,1,sequential,,4.94812258,4.998047
cant,O2,1,sequential,,4.9209399000000005,4.9747069
cant,O3,1,sequential,,4.94164797,5.0129884
cant,O3,2,dynamic,10.0,4.49446776,4.9739747
cant,O3,2,dynamic,100.0,3.49655029,4.2558597
cant,O3,2,dynamic,1000.0,3.40269041,3.9099852
cant,O3,2,guided,10.0,3.86601808,5.1252200000000006
cant,O3,2,guided,100.0,3.8313818200000003,5.090820300000001
cant,O3,2,guided,1000.0,3.7647266000000004,5.122167700000001
cant,O3,2,static,10.0,4.4355859099999995,5.168334500000004
cant,O3,2,static,100.0,3.73824221,5.096655300000001
cant,O3,2,static,1000.0,3.73003171,5.0506592999999995
cant,O3,4,dynamic,10.0,2.6081298700000004,3.2962154000000004
